images,name,corrAns,sounds,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,begin_global,begin_routine,end_global,end_routine,key_resp_2.keys,key_resp_2.corr,begin_book,key_resp_1.keys,key_resp_1.corr,key_resp_1.rt,date,frameRate,expName,session,participant
images/candy.jpg,candy,z,sounds/greatgatsby_chinese.wav,,,,,,,,,0,1,1,0,0,176,176,31,932.289256782,9.62184276432E-06,933.238610505,0.949364307686,,,,z,1,0.933828724665,2018_Nov_13_1539,59.9849361106,chinese_cond2,1,1004
images/cigar.jpg,crocodile,x,sounds/greatgatsby_chinese.wav,,,,,,,,,0,1,1,0,0,177,177,162,934.335712469,9.30100213736E-06,935.189103443,0.853401237167,,,,x,1,0.83378218743,2018_Nov_13_1539,59.9849361106,chinese_cond2,1,1004
images/shotglass.jpg,shot glass,z,sounds/greatgatsby_chinese.wav,,,,,,,,,0,1,1,0,0,178,178,86,936.296253711,8.98027792573E-06,937.089607911,0.79336382146,,,,z,1,0.783781529986,2018_Nov_13_1539,59.9849361106,chinese_cond2,1,1004
images/ceilingfan02.jpg,paper clip,x,sounds/greatgatsby_chinese.wav,,,,,,,,,0,1,1,0,0,179,179,208,938.186268878,9.30100213736E-06,938.973446883,0.787188588409,,,,x,1,0.767112185364,2018_Nov_13_1539,59.9849361106,chinese_cond2,1,1004
images/ashtray02b.jpg,ashtray,z,sounds/greatgatsby_chinese.wav,,,,,,,,,0,1,1,0,0,180,180,43,940.086777195,8.6595537141E-06,940.757263692,0.670495798578,,,,z,1,0.650401435094,2018_Nov_13_1539,59.9849361106,chinese_cond2,1,1004
images/mattress.jpg,cat,x,sounds/greatgatsby_chinese.wav,,,,,,,,,0,1,1,0,0,181,181,147,941.861292989,8.98027792573E-06,942.574384553,0.713101507165,,,,x,1,0.700431278441,2018_Nov_13_1539,59.9849361106,chinese_cond2,1,1004
images/bench02.jpg,electric toothbrush,x,sounds/greatgatsby_chinese.wav,,,,,,,,,0,1,1,0,0,182,182,172,943.682003721,9.30100213736E-06,944.75829835,1.07630489243,,,,x,1,1.06720080157,2018_Nov_13_1539,59.9849361106,chinese_cond2,1,1004
images/spoon02b.jpg,spoon,z,sounds/greatgatsby_chinese.wav,,,,,,,,,0,1,1,0,0,183,183,38,945.8479146,9.621726349E-06,946.875511997,1.02760798077,,,,z,1,1.01717961766,2018_Nov_13_1539,59.9849361106,chinese_cond2,1,1004
images/cola.jpg,comb,x,sounds/greatgatsby_chinese.wav,,,,,,,,,0,1,1,0,0,184,184,157,947.994890856,9.621726349E-06,949.159446994,1.16456608032,,,,x,1,1.15054463863,2018_Nov_13_1539,59.9849361106,chinese_cond2,1,1004
images/feather03b.jpg,feather,z,sounds/greatgatsby_chinese.wav,,,,,,,,,0,1,1,0,0,185,185,114,950.258788578,9.30100213736E-06,950.926601835,0.667822879157,,,,z,1,0.650428696652,2018_Nov_13_1539,59.9849361106,chinese_cond2,1,1004
images/flashlight05.jpg,flash light,z,sounds/greatgatsby_chinese.wav,,,,,,,,,0,1,1,0,0,186,186,8,952.028729876,9.621726349E-06,953.010474548,0.981754614157,,,,z,1,0.967181846732,2018_Nov_13_1539,59.9849361106,chinese_cond2,1,1004
images/bowtie.jpg,bowtie,z,sounds/greatgatsby_chinese.wav,,,,,,,,,0,1,1,0,0,187,187,89,954.120553673,9.30100213736E-06,954.794259285,0.673716195161,,,,z,1,0.650415546959,2018_Nov_13_1539,59.9849361106,chinese_cond2,1,1004
images/orange.jpg,bat,x,sounds/greatgatsby_chinese.wav,,,,,,,,,0,1,1,0,0,188,188,128,955.918040411,9.94245056063E-06,956.744782691,0.826752223191,,,,x,1,0.817142028711,2018_Nov_13_1539,59.9849361106,chinese_cond2,1,1004
images/eraser.jpg,eraser,z,sounds/greatgatsby_chinese.wav,,,,,,,,,0,1,1,0,0,189,189,110,957.85065391,9.30111855268E-06,958.511892311,0.66124834388,,,,z,1,0.650414905511,2018_Nov_13_1539,59.9849361106,chinese_cond2,1,1004
images/donut.jpg,rhinoceros,x,sounds/greatgatsby_chinese.wav,,,,,,,,,0,1,1,0,0,190,190,216,959.636061835,9.30100213736E-06,960.428898705,0.79284713394,,,,x,1,0.783603527816,2018_Nov_13_1539,59.9849361106,chinese_cond2,1,1004
images/ant.jpg,ant,z,sounds/greatgatsby_chinese.wav,,,,,,,,,0,1,1,0,0,191,191,98,961.523033324,9.30100213736E-06,962.496292583,0.973269201233,,,,z,1,0.9504929377,2018_Nov_13_1539,59.9849361106,chinese_cond2,1,1004
images/battery03b.jpg,battery,z,sounds/greatgatsby_chinese.wav,,,,,,,,,0,1,1,0,0,192,192,34,963.604059605,9.30100213736E-06,964.430114252,0.826065230882,,,,z,1,0.817110277014,2018_Nov_13_1539,59.9849361106,chinese_cond2,1,1004
images/apricot.jpg,apricot,z,sounds/greatgatsby_chinese.wav,,,,,,,,,0,1,1,0,0,193,193,32,965.54611171,8.98027792573E-06,966.247257243,0.701155154034,,,,x,0,0.683745576767,2018_Nov_13_1539,59.9849361106,chinese_cond2,1,1004
