images,name,corrAns,sounds,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,begin_global,begin_routine,end_global,end_routine,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,begin_book,key_resp_1.keys,key_resp_1.corr,key_resp_1.rt,date,frameRate,expName,session,participant
images\feather03b.jpg,feather,z,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,113,113,114,336.326600531,9.621726349E-06,337.157951505,0.831360596581,,,,,z,1,0.817106538103,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\banana04a.jpg,banana,z,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,114,114,118,338.264809317,8.98039434105E-06,339.42521791,1.16041821486,,,,,z,1,1.15051545599,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\skateboard.jpg,key,x,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,115,115,189,340.517850528,8.98039434105E-06,341.442430993,0.924590407871,,,,,x,1,0.900456362171,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\backpack01b.jpg,swallow,x,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,116,116,228,342.57410696,9.30111855268E-06,343.959820637,1.38572361891,,,,,x,1,1.36729273596,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\nametag01a.jpg,name tag,z,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,117,117,108,345.081510456,8.98039434105E-06,346.393765842,1.31226500752,,,,,z,1,1.30057034839,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\camera01a.jpg,bull,x,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,118,118,138,347.576664435,9.621726349E-06,348.844422835,1.26776802086,,,,,x,1,1.25054916437,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\pictureframe04.jpg,picture frame,z,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,119,119,41,349.968726577,9.94245056063E-06,351.161719403,1.19300341024,,,,,z,1,1.18387648941,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\bicycle.jpg,hand bag,x,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,120,120,186,352.271461831,9.30111855268E-06,353.428986449,1.15753456077,,,,,x,1,1.13385338103,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\coin01b.jpg,arrow,x,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,121,121,124,354.53187687,8.98039434105E-06,355.3628372,0.830970272189,,,,,x,1,0.817097878433,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\teapot.jpg,light switch,x,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,122,122,197,356.479149394,9.30111855268E-06,358.046897947,1.56775817461,,,,,x,1,1.55063874333,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\spoon02b.jpg,spoon,z,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,123,123,38,359.13872939,9.62184276432E-06,359.880714669,0.741994901095,,,,,z,1,0.733746130019,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
