images,name,corrAns,sounds,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,begin_global,begin_routine,end_global,end_routine,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,begin_book,key_resp_1.keys,key_resp_1.corr,key_resp_1.rt,date,frameRate,expName,session,participant
images/nametag01a.jpg,name tag,z,sounds/animalfarm_chinese.wav,,,,,,,,,0,0,0,1,0,17,17,108,139.501262994,9.30088572204E-06,141.564633347,2.06338061602,,,,,z,1,2.05074939365,2018_Dec_04_1105,59.9848401862,chinese_cond1,1,1069
images/swan.jpg,swan,z,sounds/animalfarm_chinese.wav,,,,,,,,,0,0,0,1,0,18,18,54,142.656622155,9.3006528914E-06,143.931878186,1.27526565199,,,,,x,0,1.25054843072,2018_Dec_04_1105,59.9848401862,chinese_cond1,1,1069
images/beermug01b.jpg,beer mug,z,sounds/animalfarm_chinese.wav,,,,,,,,,0,0,0,1,0,19,19,111,145.049432519,9.30088572204E-06,146.232453428,1.18303053128,,,,,z,1,1.16716805822,2018_Dec_04_1105,59.9848401862,chinese_cond1,1,1069
images/arrow02.jpg,hammer,x,sounds/animalfarm_chinese.wav,,,,,,,,,0,0,0,1,0,20,20,184,147.330593639,9.30088572204E-06,148.433250866,1.10266716871,,,,,z,0,1.08409525617,2018_Dec_04_1105,59.9848401862,chinese_cond1,1,1069
images/hairdryer03a.jpg,hairdryer,z,sounds/animalfarm_chinese.wav,,,,,,,,,0,0,0,1,0,21,21,119,149.532037327,9.30088572204E-06,150.683556832,1.15152912703,,,,,z,1,1.13386100251,2018_Dec_04_1105,59.9848401862,chinese_cond1,1,1069
images/doll.jpg,carrot,x,sounds/animalfarm_chinese.wav,,,,,,,,,0,0,0,1,0,22,22,146,151.794425444,9.62149351835E-06,152.767411869,0.972996368073,,,,,x,1,0.950497243786,2018_Dec_04_1105,59.9848401862,chinese_cond1,1,1069
images/pineapple01a.jpg,pineapple,z,sounds/animalfarm_chinese.wav,,,,,,,,,0,0,0,1,0,23,23,51,153.880300694,8.98004509509E-06,155.184673899,1.30438314704,,,,,z,1,1.28390872572,2018_Dec_04_1105,59.9848401862,chinese_cond1,1,1069
images/eraser.jpg,eraser,z,sounds/animalfarm_chinese.wav,,,,,,,,,0,0,0,1,0,24,24,110,156.293114983,9.94233414531E-06,157.451887564,1.15878316388,,,,,z,1,1.15053521679,2018_Dec_04_1105,59.9848401862,chinese_cond1,1,1069
images/parkfountain.jpg,park fountain,z,sounds/animalfarm_chinese.wav,,,,,,,,,0,0,0,1,0,25,25,93,158.571837352,9.62149351835E-06,161.219497638,2.64767022827,,,,,z,1,2.6342413763,2018_Dec_04_1105,59.9848401862,chinese_cond1,1,1069
images/cherry01.jpg,highlighter,x,sounds/animalfarm_chinese.wav,,,,,,,,,0,0,0,1,0,26,26,187,162.330059641,9.30088572204E-06,163.253326504,0.923276805552,,,,,x,1,0.900473638671,2018_Dec_04_1105,59.9848401862,chinese_cond1,1,1069
