images,name,corrAns,sounds,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,begin_global,begin_routine,end_global,end_routine,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,begin_book,key_resp_1.keys,key_resp_1.corr,key_resp_1.rt,date,frameRate,expName,session,participant,
images\mattress.jpg,cat,x,sounds\greatgatsby_spanish.wav,,,,,,,,,0,1,1,0,0,145,145,147,915.362741944,9.94256697595e-06,916.158345679,0.795613997732,,,,,x,1,0.783796179458,2018_Nov_14_1534,59.9827049621,spanish_cond2,001,1028,
images\broadsword.jpg,teapot,x,sounds\greatgatsby_spanish.wav,,,,,,,,,0,1,1,0,0,146,146,231,917.251521287,9.94256697595e-06,918.075521846,0.824010501965,,,,,x,1,0.800460178754,2018_Nov_14_1534,59.9827049621,spanish_cond2,001,1028,
images\orange.jpg,bat,x,sounds\greatgatsby_spanish.wav,,,,,,,,,0,1,1,0,0,147,147,128,919.200777506,9.30100213736e-06,920.559541476,1.35877455445,,,,,x,1,1.3339628129,2018_Nov_14_1534,59.9827049621,spanish_cond2,001,1028,
images\lipstick04.jpg,lipstick,z,sounds\greatgatsby_spanish.wav,,,,,,,,,0,1,1,0,0,148,148,56,921.65941418,9.30111855268e-06,922.576746862,0.917342945701,,,,,z,1,0.900502867415,2018_Nov_14_1534,59.9827049621,spanish_cond2,001,1028,
images\camera01a.jpg,bull,x,sounds\greatgatsby_spanish.wav,,,,,,,,,0,1,1,0,0,149,149,138,923.688038079,9.30111855268e-06,925.077418624,1.38939016697,,,,,x,1,1.36729305668,2018_Nov_14_1534,59.9827049621,spanish_cond2,001,1028,
images\parkbench03.jpg,park bench,z,sounds\greatgatsby_spanish.wav,,,,,,,,,0,1,1,0,0,150,150,71,926.183578855,9.62184276432e-06,927.39470493,1.21113633807,,,,,z,1,1.20058186236,2018_Nov_14_1534,59.9827049621,spanish_cond2,001,1028,
images\remotecontrol01c.jpg,remote control,z,sounds\greatgatsby_spanish.wav,,,,,,,,,0,1,1,0,0,151,151,85,928.50529151,9.94245056063e-06,929.712006951,1.2067257039,,,,,z,1,1.18392203259,2018_Nov_14_1534,59.9827049621,spanish_cond2,001,1028,
images\giraffe.jpg,lettuce,x,sounds\greatgatsby_spanish.wav,,,,,,,,,0,1,1,0,0,152,152,195,930.813610296,9.62184276432e-06,932.496075748,1.68247571541,,,,,x,1,1.66737269319,2018_Nov_14_1534,59.9827049621,spanish_cond2,001,1028,
images\electrictoothbrush01a.jpg,banjo,x,sounds\greatgatsby_spanish.wav,,,,,,,,,0,1,1,0,0,153,153,127,933.591383868,9.62184276432e-06,935.730278753,2.13890514791,,,,,x,1,2.11749214772,2018_Nov_14_1534,59.9827049621,spanish_cond2,001,1028,
images\candy.jpg,candy,z,sounds\greatgatsby_spanish.wav,,,,,,,,,0,1,1,0,0,154,154,31,936.832813489,9.30111855268e-06,939.281235016,2.44843179057,,,,,z,1,2.43424957478,2018_Nov_14_1534,59.9827049621,spanish_cond2,001,1028,
