images,name,corrAns,sounds,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,begin_global,begin_routine,end_global,end_routine,key_resp_2.keys,key_resp_2.corr,begin_book,key_resp_1.keys,key_resp_1.corr,key_resp_1.rt,date,frameRate,expName,session,participant,
images\volleyball.jpg,volley ball,z,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2018_Nov_26_1232,59.9829937212,spanish_cond2,001,1046,
images\puma.jpg,puma,z,,,,,,0,0,0,0,,,,,,,,,48.1481918615,1.02631747723e-05,51.0126454558,2.86446449894,None,0,,,,,2018_Nov_26_1232,59.9829937212,spanish_cond2,001,1046,
images\lollipop03b.jpg,lollipop,z,sounds\greatgatsby_spanish.wav,,,,,,,,,0,0,0,0,0,0,0,42,93.1583324727,9.30088572204e-06,95.024139517,1.86581634509,,,83.0094045526,z,1,1.85070741817,2018_Nov_26_1232,59.9829937212,spanish_cond2,001,1046,
images\coin01b.jpg,arrow,x,sounds\greatgatsby_spanish.wav,,,,,,,,,0,0,0,0,0,1,1,124,96.1323629118,9.30088572204e-06,97.6081480251,1.47579537623,,,,x,1,1.46727216977,2018_Nov_26_1232,59.9829937212,spanish_cond2,001,1046,
images\aloe02.jpg,broad sword,x,sounds\greatgatsby_spanish.wav,,,,,,,,,0,0,0,0,0,2,2,137,98.7319174921,9.30100213736e-06,100.809121868,2.07722393959,,,,x,1,2.06753875455,2018_Nov_26_1232,59.9829937212,spanish_cond2,001,1046,
images\pingpongpaddle01c (1).jpg,ping pong paddle,z,sounds\greatgatsby_spanish.wav,,,,,,,,,0,0,0,0,0,3,3,10,101.919652862,8.98016151041e-06,103.042858178,1.12321429595,,,,z,1,1.10051642777,2018_Nov_26_1232,59.9829937212,spanish_cond2,001,1046,
images\beermug01b.jpg,beer mug,z,sounds\greatgatsby_spanish.wav,,,,,,,,,0,0,0,0,0,4,4,111,104.158359093,9.94233414531e-06,107.16043898,3.00209047075,,,,None,0,,2018_Nov_26_1232,59.9829937212,spanish_cond2,001,1046,
images\charcoalbarbecue.jpg,charcoal barbecue,z,sounds\greatgatsby_spanish.wav,,,,,,,,,0,0,0,0,0,5,5,77,108.275666959,9.30088572204e-06,110.027976964,1.75231962709,,,,z,1,1.73400475574,2018_Nov_26_1232,59.9829937212,spanish_cond2,001,1046,
images\ostrich.jpg,ostrich,z,sounds\greatgatsby_spanish.wav,,,,,,,,,0,0,0,0,0,6,6,76,111.127881774,8.6595537141e-06,112.095176074,0.967303921352,,,,x,0,0.950471109594,2018_Nov_26_1232,59.9829937212,spanish_cond2,001,1046,
images\envelope02a.jpg,grand piano,x,sounds\greatgatsby_spanish.wav,,,,,,,,,0,0,0,0,0,7,7,182,113.217904475,9.30088572204e-06,114.945921337,1.72802712535,,,,x,1,1.71734417207,2018_Nov_26_1232,59.9829937212,spanish_cond2,001,1046,
images\donut.jpg,rhinoceros,x,sounds\greatgatsby_spanish.wav,,,,,,,,,0,0,0,0,0,8,8,216,116.069933912,9.62160993367e-06,117.246495623,1.17657165357,,,,x,1,1.16718698584,2018_Nov_26_1232,59.9829937212,spanish_cond2,001,1046,
images\birthdaycandle.jpg,birthday candle,z,sounds\greatgatsby_spanish.wav,,,,,,,,,0,0,0,0,0,9,9,55,118.342535082,9.30100213736e-06,119.697123887,1.35459810554,,,,z,1,1.33390090568,2018_Nov_26_1232,59.9829937212,spanish_cond2,001,1046,
images\lightswitch02a.jpg,fork,x,sounds\greatgatsby_spanish.wav,,,,,,,,,0,0,0,0,0,10,10,177,120.808911794,9.621726349e-06,122.781243365,1.97234183399,,,,x,1,1.95072672574,2018_Nov_26_1232,59.9829937212,spanish_cond2,001,1046,
images\cauliflower01.jpg,glue stick,x,sounds\greatgatsby_spanish.wav,,,,,,,,,0,0,0,0,0,11,11,181,123.896984501,9.30088572204e-06,125.115178267,1.21820338815,,,,x,1,1.20053541451,2018_Nov_26_1232,59.9829937212,spanish_cond2,001,1046,
