images,name,corrAns,sounds,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,begin_global,begin_routine,end_global,end_routine,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,begin_book,key_resp_1.keys,key_resp_1.corr,key_resp_1.rt,date,frameRate,expName,session,participant,
images\feather03b.jpg,feather,z,sounds\greatgatsby_spanish.wav,,,,,,,,,0,0,0,0,0,120,120,114,408.911557352,8.98010330275e-06,410.149301892,1.23775448219,,,,,z,1,1.21719834325,2018_Dec_04_1106,59.9854941959,spanish_cond2,001,1072,
images\glasses01b.jpg,calculator,x,sounds\greatgatsby_spanish.wav,,,,,,,,,0,0,0,0,0,121,121,142,411.260560141,9.62155172601e-06,413.233410028,1.97285982867,,,,,x,1,1.95073056495,2018_Dec_04_1106,59.9854941959,spanish_cond2,001,1072,
images\cake.jpg,cake,z,sounds\greatgatsby_spanish.wav,,,,,,,,,0,0,0,0,0,122,122,23,414.41460931,9.62155172601e-06,415.233923819,0.819324451149,,,,,z,1,0.800483836094,2018_Dec_04_1106,59.9854941959,spanish_cond2,001,1072,
images\flower01.jpg,bus,x,sounds\greatgatsby_spanish.wav,,,,,,,,,0,0,0,0,0,123,123,140,416.431548705,9.30088572204e-06,418.284619169,1.85308040609,,,,,x,1,1.83401592943,2018_Dec_04_1106,59.9854941959,spanish_cond2,001,1072,
images\honeycomb.jpg,honey comb,z,sounds\greatgatsby_spanish.wav,,,,,,,,,0,0,0,0,0,124,124,59,419.474267142,9.30082751438e-06,421.035307271,1.56105071265,,,,,z,1,1.55063184776,2018_Dec_04_1106,59.9854941959,spanish_cond2,001,1072,
images\lightswitch02a.jpg,fork,x,sounds\greatgatsby_spanish.wav,,,,,,,,,0,0,0,0,0,125,125,177,422.240604709,9.30088572204e-06,423.53589611,1.2953003819,,,,,x,1,1.28388247843,2018_Dec_04_1106,59.9854941959,spanish_cond2,001,1072,
images\nailclipper03a.jpg,aquarium,x,sounds\greatgatsby_spanish.wav,,,,,,,,,0,0,0,0,0,126,126,123,424.678659512,9.30082751438e-06,426.486619619,1.80797004997,,,,,x,1,1.78401461453,2018_Dec_04_1106,59.9854941959,spanish_cond2,001,1072,
images\eraser.jpg,eraser,z,sounds\greatgatsby_spanish.wav,,,,,,,,,0,0,0,0,0,127,127,110,427.668927947,8.98010330275e-06,428.837189119,1.16827079427,,,,,z,1,1.15052062256,2018_Dec_04_1106,59.9854941959,spanish_cond2,001,1072,
images\volleyball.jpg,volley ball,z,sounds\greatgatsby_spanish.wav,,,,,,,,,0,0,0,0,0,128,128,2,429.970612553,8.98010330275e-06,431.187757978,1.21715472557,,,,,z,1,1.20053059683,2018_Dec_04_1106,59.9854941959,spanish_cond2,001,1072,
images\banana04a.jpg,banana,z,sounds\greatgatsby_spanish.wav,,,,,,,,,0,0,0,0,0,129,129,118,432.372775095,9.30088572204e-06,435.371979071,2.99921423942,,,,,None,0,,2018_Dec_04_1106,59.9854941959,spanish_cond2,001,1072,
