images,name,corrAns,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,sounds,begin_global,begin_routine,end_global,end_routine,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,begin_book,date,frameRate,expName,session,participant,
images/volleyball.jpg,volley ball,z,0,0,0,0,,,,,,,,,,,,,,,,,,2018_Nov_04_1243,60.65901517956312,mm_bilingualism,001,999,
images/puma.jpg,puma,z,,,,,0,0,0,0,,,,,,48.1634340286,8.10623168945e-06,48.6379129887,0.474488019943,z,1,0.435966968536,,2018_Nov_04_1243,60.65901517956312,mm_bilingualism,001,999,
images/puma.jpg,puma,z,,,,,0,0,0,0,,,,,,,,,,,,,,2018_Nov_04_1243,60.65901517956312,mm_bilingualism,001,999,
