images,name,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,participant,session,date,expName,frameRate,
images/avocado02.jpg,avocado,z,0,0,0,5,999,001,2018_Oct_18_2157,mm_bilingualism,59.49026975755366,
images/armadillo.jpg,armadillo,z,0,1,1,4,999,001,2018_Oct_18_2157,mm_bilingualism,59.49026975755366,
