21.1560 	EXP 	image: size = array([300., 300.])
21.1560 	EXP 	text: text = u'banjo'
21.1560 	EXP 	image: autoDraw = True
21.1560 	EXP 	text: autoDraw = True
22.0236 	DATA 	Keypress: x
22.0451 	EXP 	image: autoDraw = False
22.0451 	EXP 	text: autoDraw = False
22.0451 	EXP 	text_2: text = 'Wrong.'
22.0451 	EXP 	text_2: autoDraw = True
23.0256 	EXP 	New trial (rep=0, index=7): OrderedDict([(u'images', u'images/barn.jpg'), (u'name', u'shoe'), (u'corrAns', u'x')])
23.2667 	EXP 	text_2: autoDraw = False
23.2667 	EXP 	text_2: autoDraw = False
23.2667 	EXP 	image: image = u'images/barn.jpg'
23.2667 	EXP 	image: size = array([300., 300.])
23.2667 	EXP 	text: text = u'shoe'
23.2667 	EXP 	image: autoDraw = True
23.2667 	EXP 	text: autoDraw = True
24.3081 	DATA 	Keypress: x
24.3213 	EXP 	image: autoDraw = False
24.3213 	EXP 	text: autoDraw = False
24.3213 	EXP 	text_2: text = 'Wrong.'
24.3213 	EXP 	text_2: autoDraw = True
25.3086 	EXP 	New trial (rep=0, index=8): OrderedDict([(u'images', u'images/bacon.jpg'), (u'name', u'bacon'), (u'corrAns', u'z')])
25.4721 	EXP 	text_2: autoDraw = False
25.4721 	EXP 	text_2: autoDraw = False
25.4721 	EXP 	image: image = u'images/bacon.jpg'
25.4721 	EXP 	image: size = array([300., 300.])
25.4721 	EXP 	text: text = u'bacon'
25.4721 	EXP 	image: autoDraw = True
25.4721 	EXP 	text: autoDraw = True
26.3087 	DATA 	Keypress: x
26.3412 	EXP 	image: autoDraw = False
26.3412 	EXP 	text: autoDraw = False
26.3412 	EXP 	text_2: text = 'Correct!'
26.3412 	EXP 	text_2: autoDraw = True
27.3087 	EXP 	New trial (rep=0, index=9): OrderedDict([(u'images', u'images/armadillo.jpg'), (u'name', u'armadillo'), (u'corrAns', u'z')])
27.4890 	EXP 	text_2: autoDraw = False
27.4890 	EXP 	text_2: autoDraw = False
