8.5560 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([1., 1., 1.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x113004c90>, multiSample=False, name='window1', numSamples=2, pos=[-840, -525], screen=0, size=array([3360, 2100]), stereo=False, units=u'norm', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType=u'pyglet')
8.5561 	EXP 	window1: recordFrameIntervals = False
8.7215 	EXP 	window1: recordFrameIntervals = True
9.2218 	EXP 	window1: recordFrameIntervals = False
9.2236 	EXP 	Created image = ImageStim(autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='image', opacity=1.0, ori=0.0, pos=array([-100.,    0.]), size=array([1., 1.]), texRes=128, units='pix', win=Window(...))
9.3219 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text', opacity=1.0, ori=0, pos=array([0.2, 0. ]), rgb=array([0., 0., 0.]), text='default text', units=u'norm', win=Window(...), wrapWidth=1)
9.3285 	EXP 	Created text_2 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_2', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([0., 0., 0.]), text='default text', units=u'norm', win=Window(...), wrapWidth=1)
9.3357 	EXP 	Imported images.xlsx as conditions, 13 conditions, 3 params
9.3360 	EXP 	Created sequence: random, trialTypes=13, nReps=5, seed=None
9.3363 	EXP 	New trial (rep=0, index=0): OrderedDict([(u'images', u'images/avocado02.jpg'), (u'name', u'avocado'), (u'corrAns', u'z')])
9.6356 	EXP 	image: image = u'images/avocado02.jpg'
9.6356 	EXP 	image: size = array([300., 300.])
9.6356 	EXP 	text: text = u'avocado'
9.6356 	EXP 	image: autoDraw = True
9.6356 	EXP 	text: autoDraw = True
10.0604 	DATA 	Keypress: z
10.1049 	EXP 	image: autoDraw = False
10.1049 	EXP 	text: autoDraw = False
10.1049 	EXP 	text_2: text = 'doh!'
10.1049 	EXP 	text_2: autoDraw = True
11.0719 	EXP 	New trial (rep=0, index=1): OrderedDict([(u'images', u'images/alligator.jpg'), (u'name', u'deer'), (u'corrAns', u'x')])
11.2358 	EXP 	text_2: autoDraw = False
11.2358 	EXP 	text_2: autoDraw = False
11.2358 	EXP 	image: image = u'images/alligator.jpg'
11.2358 	EXP 	image: size = array([300., 300.])
11.2358 	EXP 	text: text = u'deer'
11.2358 	EXP 	image: autoDraw = True
11.2358 	EXP 	text: autoDraw = True
11.7548 	DATA 	Keypress: z
11.7877 	EXP 	image: autoDraw = False
11.7877 	EXP 	text: autoDraw = False
11.7877 	EXP 	text_2: text = 'Correct!'
11.7877 	EXP 	text_2: autoDraw = True
12.7548 	EXP 	New trial (rep=0, index=2): OrderedDict([(u'images', u'images/bacon.jpg'), (u'name', u'bacon'), (u'corrAns', u'z')])
12.9044 	EXP 	text_2: autoDraw = False
12.9044 	EXP 	text_2: autoDraw = False
12.9044 	EXP 	image: image = u'images/bacon.jpg'
12.9044 	EXP 	image: size = array([300., 300.])
12.9044 	EXP 	text: text = u'bacon'
12.9044 	EXP 	image: autoDraw = True
12.9044 	EXP 	text: autoDraw = True
13.8876 	DATA 	Keypress: z
13.9096 	EXP 	image: autoDraw = False
13.9096 	EXP 	text: autoDraw = False
13.9096 	EXP 	text_2: text = 'Wrong.'
13.9096 	EXP 	text_2: autoDraw = True
14.8886 	EXP 	New trial (rep=0, index=3): OrderedDict([(u'images', u'images/almond.jpg'), (u'name', u'apple'), (u'corrAns', u'x')])
15.0822 	EXP 	text_2: autoDraw = False
15.0822 	EXP 	text_2: autoDraw = False
15.0822 	EXP 	image: image = u'images/almond.jpg'
15.0822 	EXP 	image: size = array([300., 300.])
