23.6956 	EXP 	image: size = array([300., 300.])
23.6956 	EXP 	text: text = u'apple'
23.6956 	EXP 	image: autoDraw = True
23.6956 	EXP 	text: autoDraw = True
24.4058 	DATA 	Keypress: x
24.4335 	EXP 	image: autoDraw = False
24.4335 	EXP 	text: autoDraw = False
24.4335 	EXP 	text_2: text = 'Wrong.'
24.4335 	EXP 	text_2: autoDraw = True
25.4124 	EXP 	New trial (rep=0, index=7): OrderedDict([(u'images', u'images/antlers.jpg'), (u'name', u'antlers'), (u'corrAns', u'z')])
25.5991 	EXP 	text_2: autoDraw = False
25.5991 	EXP 	text_2: autoDraw = False
25.5991 	EXP 	image: image = u'images/antlers.jpg'
25.5991 	EXP 	image: size = array([300., 300.])
25.5991 	EXP 	text: text = u'antlers'
25.5991 	EXP 	image: autoDraw = True
25.5991 	EXP 	text: autoDraw = True
26.2712 	DATA 	Keypress: x
26.3020 	EXP 	image: autoDraw = False
26.3020 	EXP 	text: autoDraw = False
26.3020 	EXP 	text_2: text = 'Wrong.'
26.3020 	EXP 	text_2: autoDraw = True
27.2629 	EXP 	New trial (rep=0, index=8): OrderedDict([(u'images', u'images/acorn.jpg'), (u'name', u'tree'), (u'corrAns', u'x')])
27.5003 	EXP 	text_2: autoDraw = False
27.5003 	EXP 	text_2: autoDraw = False
27.5003 	EXP 	image: image = u'images/acorn.jpg'
27.5003 	EXP 	image: size = array([300., 300.])
27.5003 	EXP 	text: text = u'tree'
27.5003 	EXP 	image: autoDraw = True
27.5003 	EXP 	text: autoDraw = True
29.2965 	EXP 	image: autoDraw = False
29.2965 	EXP 	text: autoDraw = False
29.2965 	EXP 	image: autoDraw = False
29.2965 	EXP 	text: autoDraw = False
29.2965 	EXP 	text_2: text = 'Failed to respond'
29.2965 	EXP 	text_2: autoDraw = True
30.2304 	DATA 	Keypress: escape
30.5473 	EXP 	window1: mouseVisible = True
