10.3190 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([1., 1., 1.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x113031c90>, multiSample=False, name='window1', numSamples=2, pos=[-840, -525], screen=0, size=array([3360, 2100]), stereo=False, units=u'norm', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType=u'pyglet')
10.3190 	EXP 	window1: recordFrameIntervals = False
10.5175 	EXP 	window1: recordFrameIntervals = True
10.8018 	EXP 	window1: recordFrameIntervals = False
10.8040 	EXP 	Created image = ImageStim(autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='image', opacity=1.0, ori=0.0, pos=array([-100.,    0.]), size=array([1., 1.]), texRes=128, units='pix', win=Window(...))
10.9036 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text', opacity=1.0, ori=0, pos=array([0.2, 0. ]), rgb=array([0., 0., 0.]), text='default text', units=u'norm', win=Window(...), wrapWidth=1)
10.9107 	EXP 	Created text_2 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_2', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([0., 0., 0.]), text='default text', units=u'norm', win=Window(...), wrapWidth=1)
10.9219 	EXP 	Imported images.xlsx as conditions, 13 conditions, 3 params
10.9224 	EXP 	Created sequence: random, trialTypes=13, nReps=5, seed=None
10.9227 	EXP 	New trial (rep=0, index=0): OrderedDict([(u'images', u'images/antlers.jpg'), (u'name', u'antlers'), (u'corrAns', u'z')])
11.2267 	EXP 	image: image = u'images/antlers.jpg'
11.2267 	EXP 	image: size = array([300., 300.])
11.2267 	EXP 	text: text = u'antlers'
11.2267 	EXP 	image: autoDraw = True
11.2267 	EXP 	text: autoDraw = True
12.9517 	EXP 	image: autoDraw = False
12.9517 	EXP 	text: autoDraw = False
12.9517 	EXP 	text_2: text = 'Failed to respond'
12.9517 	EXP 	text_2: autoDraw = True
13.9173 	EXP 	New trial (rep=0, index=1): OrderedDict([(u'images', u'images/antelope.jpg'), (u'name', u'antelope'), (u'corrAns', u'z')])
14.0827 	EXP 	text_2: autoDraw = False
14.0827 	EXP 	image: image = u'images/antelope.jpg'
14.0827 	EXP 	image: size = array([300., 300.])
14.0827 	EXP 	text: text = u'antelope'
14.0827 	EXP 	image: autoDraw = True
14.0827 	EXP 	text: autoDraw = True
15.2903 	DATA 	Keypress: x
15.3180 	EXP 	image: autoDraw = False
15.3180 	EXP 	text: autoDraw = False
15.3180 	EXP 	text_2: text = 'Wrong.'
15.3180 	EXP 	text_2: autoDraw = True
16.2851 	EXP 	New trial (rep=0, index=2): OrderedDict([(u'images', u'images/banjo.jpg'), (u'name', u'banjo'), (u'corrAns', u'z')])
16.4342 	EXP 	text_2: autoDraw = False
16.4342 	EXP 	text_2: autoDraw = False
16.4342 	EXP 	image: image = u'images/banjo.jpg'
16.4342 	EXP 	image: size = array([300., 300.])
16.4342 	EXP 	text: text = u'banjo'
16.4342 	EXP 	image: autoDraw = True
16.4342 	EXP 	text: autoDraw = True
17.8691 	DATA 	Keypress: x
17.8850 	EXP 	image: autoDraw = False
17.8850 	EXP 	text: autoDraw = False
17.8850 	EXP 	text_2: text = 'Wrong.'
17.8850 	EXP 	text_2: autoDraw = True
18.8695 	EXP 	New trial (rep=0, index=3): OrderedDict([(u'images', u'images/barn.jpg'), (u'name', u'shoe'), (u'corrAns', u'x')])
19.0984 	EXP 	text_2: autoDraw = False
19.0984 	EXP 	text_2: autoDraw = False
19.0984 	EXP 	image: image = u'images/barn.jpg'
19.0984 	EXP 	image: size = array([300., 300.])
19.0984 	EXP 	text: text = u'shoe'
19.0984 	EXP 	image: autoDraw = True
19.0984 	EXP 	text: autoDraw = True
20.9012 	EXP 	image: autoDraw = False
20.9012 	EXP 	text: autoDraw = False
20.9012 	EXP 	image: autoDraw = False
20.9012 	EXP 	text: autoDraw = False
20.9012 	EXP 	text_2: text = 'Failed to respond'
20.9012 	EXP 	text_2: autoDraw = True
21.8686 	EXP 	New trial (rep=0, index=4): OrderedDict([(u'images', u'images/apple01.jpg'), (u'name', u'apple'), (u'corrAns', u'z')])
22.0830 	EXP 	text_2: autoDraw = False
22.0830 	EXP 	text_2: autoDraw = False
22.0830 	EXP 	image: image = u'images/apple01.jpg'
22.0830 	EXP 	image: size = array([300., 300.])
22.0830 	EXP 	text: text = u'apple'
22.0830 	EXP 	image: autoDraw = True
22.0830 	EXP 	text: autoDraw = True
23.8827 	EXP 	image: autoDraw = False
23.8827 	EXP 	text: autoDraw = False
23.8827 	EXP 	image: autoDraw = False
23.8827 	EXP 	text: autoDraw = False
23.8827 	EXP 	text_2: text = 'Failed to respond'
23.8827 	EXP 	text_2: autoDraw = True
24.8697 	EXP 	New trial (rep=0, index=5): OrderedDict([(u'images', u'images/acorn.jpg'), (u'name', u'tree'), (u'corrAns', u'x')])
25.0660 	EXP 	text_2: autoDraw = False
25.0660 	EXP 	text_2: autoDraw = False
25.0660 	EXP 	image: image = u'images/acorn.jpg'
25.0660 	EXP 	image: size = array([300., 300.])
25.0660 	EXP 	text: text = u'tree'
25.0660 	EXP 	image: autoDraw = True
25.0660 	EXP 	text: autoDraw = True
26.0183 	DATA 	Keypress: x
26.0526 	EXP 	image: autoDraw = False
26.0526 	EXP 	text: autoDraw = False
26.0526 	EXP 	text_2: text = 'Correct!'
26.0526 	EXP 	text_2: autoDraw = True
27.0186 	EXP 	New trial (rep=0, index=6): OrderedDict([(u'images', u'images/almond.jpg'), (u'name', u'apple'), (u'corrAns', u'x')])
27.2158 	EXP 	text_2: autoDraw = False
27.2158 	EXP 	text_2: autoDraw = False
27.2158 	EXP 	image: image = u'images/almond.jpg'
27.2158 	EXP 	image: size = array([300., 300.])
27.2158 	EXP 	text: text = u'apple'
27.2158 	EXP 	image: autoDraw = True
27.2158 	EXP 	text: autoDraw = True
28.5011 	DATA 	Keypress: x
28.5152 	EXP 	image: autoDraw = False
28.5152 	EXP 	text: autoDraw = False
28.5152 	EXP 	text_2: text = 'Correct!'
28.5152 	EXP 	text_2: autoDraw = True
29.5030 	EXP 	New trial (rep=0, index=7): OrderedDict([(u'images', u'images/avocado02.jpg'), (u'name', u'avocado'), (u'corrAns', u'z')])
29.6993 	EXP 	text_2: autoDraw = False
29.6993 	EXP 	text_2: autoDraw = False
29.6993 	EXP 	image: image = u'images/avocado02.jpg'
29.6993 	EXP 	image: size = array([300., 300.])
29.6993 	EXP 	text: text = u'avocado'
29.6993 	EXP 	image: autoDraw = True
29.6993 	EXP 	text: autoDraw = True
30.7343 	DATA 	Keypress: z
30.7491 	EXP 	image: autoDraw = False
30.7491 	EXP 	text: autoDraw = False
30.7491 	EXP 	text_2: text = 'Correct!'
30.7491 	EXP 	text_2: autoDraw = True
31.7359 	EXP 	New trial (rep=0, index=8): OrderedDict([(u'images', u'images/alligator.jpg'), (u'name', u'deer'), (u'corrAns', u'x')])
31.9009 	EXP 	text_2: autoDraw = False
31.9009 	EXP 	text_2: autoDraw = False
31.9009 	EXP 	image: image = u'images/alligator.jpg'
31.9009 	EXP 	image: size = array([300., 300.])
31.9009 	EXP 	text: text = u'deer'
31.9009 	EXP 	image: autoDraw = True
31.9009 	EXP 	text: autoDraw = True
32.8680 	DATA 	Keypress: x
32.8819 	EXP 	image: autoDraw = False
32.8819 	EXP 	text: autoDraw = False
32.8819 	EXP 	text_2: text = 'Correct!'
32.8819 	EXP 	text_2: autoDraw = True
33.8695 	EXP 	New trial (rep=0, index=9): OrderedDict([(u'images', u'images/armadillo.jpg'), (u'name', u'armadillo'), (u'corrAns', u'z')])
34.0594 	EXP 	text_2: autoDraw = False
34.0594 	EXP 	text_2: autoDraw = False
34.0594 	EXP 	image: image = u'images/armadillo.jpg'
34.0594 	EXP 	image: size = array([300., 300.])
