18.5159 	EXP 	image: image = u'images/antelope.jpg'
18.5159 	EXP 	image: size = array([300., 300.])
18.5159 	EXP 	text: text = u'antelope'
18.5159 	EXP 	image: autoDraw = True
18.5159 	EXP 	text: autoDraw = True
18.7161 	DATA 	Keypress: z
18.7366 	EXP 	image: autoDraw = False
18.7366 	EXP 	text: autoDraw = False
18.7366 	EXP 	text_2: text = 'Correct!'
18.7366 	EXP 	text_2: autoDraw = True
19.7174 	EXP 	New trial (rep=2, index=1): OrderedDict([(u'images', u'images/bagel01.jpg'), (u'name', u'bagel'), (u'corrAns', u'z')])
19.9314 	EXP 	text_2: autoDraw = False
19.9314 	EXP 	text_2: autoDraw = False
19.9314 	EXP 	image: image = u'images/bagel01.jpg'
19.9314 	EXP 	image: size = array([300., 300.])
19.9314 	EXP 	text: text = u'bagel'
19.9314 	EXP 	image: autoDraw = True
19.9314 	EXP 	text: autoDraw = True
20.1338 	DATA 	Keypress: x
20.1540 	EXP 	image: autoDraw = False
20.1540 	EXP 	text: autoDraw = False
20.1540 	EXP 	text_2: text = 'Wrong.'
20.1540 	EXP 	text_2: autoDraw = True
21.1188 	DATA 	Keypress: escape
21.3943 	EXP 	window1: mouseVisible = True
