images,name,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,participant,session,date,expName,frameRate,
images/antelope.jpg,antelope,z,0,0,0,0,999,001,2018_Oct_18_2201,mm_bilingualism,59.79021515446537,
images/avocado02.jpg,avocado,z,0,1,1,5,999,001,2018_Oct_18_2201,mm_bilingualism,59.79021515446537,
